,artist,track,time,genre,date entered,date peaked,Weeks on Billboard,Top Billboard Rank,Week,Ranking
1117,"Jackson, Alan",www.memory,2:36,Country,2000-11-04,2000-12-23,15,45.0,4,54.0
1118,Vitamin C,The Itch,3:30,Rock,2000-12-02,2000-12-16,9,45.0,4,52.0
1119,"Eastsidaz, The",G'D Up,4:27,Rap,2000-01-08,2000-02-12,14,47.0,4,64.0
1120,Ideal,Whatever,3:48,R&B,2000-06-10,2000-08-19,18,47.0,4,73.0
1121,"Thomas, Carl",Emotional,4:31,Rock,2000-11-25,2000-12-30,20,47.0,4,58.0
1122,Ginuwine,None Of Ur Friends Business,4:12,Rock,1999-12-11,2000-01-22,15,48.0,4,71.0
1123,"Davidson, Clay",Unconditional,3:56,Country,2000-03-25,2000-06-17,20,49.0,4,90.0
1124,DMX,What You Want,4:05,Rap,2000-07-01,2000-09-23,20,49.0,4,87.0
1125,"John, Elton",Someday Out Of The Blue,4:41,Rock,2000-04-22,2000-05-06,15,49.0,4,59.0
1126,Pearl Jam,Nothing As It Seems,5:20,Rock,2000-05-13,2000-05-13,6,49.0,4,89.0
1127,Mya,The Best Of Me,4:12,Rock,2000-04-15,2000-05-20,17,50.0,4,62.0
1128,"Heatherly, Eric",Flowers On The Wall,3:16,Country,2000-04-29,2000-08-12,20,50.0,4,82.0
1129,Eminem,Stan,5:26,Rap,2000-11-04,2000-12-02,15,51.0,4,57.0
1130,"McEntire, Reba",I'll Be,4:23,Country,2000-05-13,2000-07-29,20,51.0,4,72.0
1131,"Lopez, Jennifer",Feelin' Good,4:28,Latin,2000-02-19,2000-04-08,17,51.0,4,54.0
1132,"Urban, Keith",Your Everything,4:10,Country,2000-07-15,2000-09-16,16,51.0,4,73.0
1133,TLC,Dear Lie,4:36,Rock,2000-02-12,2000-03-04,7,51.0,4,51.0
1134,"Gill, Vince",Feels Like Love,4:13,Country,2000-09-02,2000-11-18,20,52.0,4,73.0
1135,"Houston, Whitney",Could I Have This Kiss Forever,3:54,Rock,2000-06-17,2000-08-05,19,52.0,4,67.0
1136,Bloodhound Gang,The Bad Touch,4:20,R&B,2000-03-18,2000-04-15,12,52.0,4,55.0
1137,"Williams, Robbie",Angels,3:56,Rock,1999-11-20,2000-01-22,19,53.0,4,69.0
1138,"Messina, Jo Dee",Because You Love Me,3:50,Country,2000-01-29,2000-03-11,13,53.0,4,71.0
1139,"Keith, Toby",Country Comes To Town,3:39,Country,2000-08-05,2000-10-14,15,54.0,4,69.0
1140,Beenie Man,Girls Dem Sugar,4:17,Reggae,2000-10-21,2000-12-02,15,54.0,4,56.0
1141,"Hill, Faith",Let's Make Love,4:11,Rap,2000-08-12,2000-10-21,14,54.0,4,73.0
1142,Kelis,Caught Out There,4:09,R&B,1999-12-04,2000-01-08,12,54.0,4,63.0
1143,Jay-Z,Anything,3:41,Rap,2000-02-26,2000-03-11,8,55.0,4,55.0
1144,3 Doors Down,Loser,4:24,Rock,2000-10-21,2000-12-02,20,55.0,4,69.0
1145,Brooks & Dunn,You'll Always Be Loved By Me,2:58,Country,2000-06-10,2000-09-09,19,55.0,4,85.0
1146,"Chesney, Kenny",What I Need To Do,4:05,Country,2000-04-01,2000-06-10,17,56.0,4,72.0
1147,"Stone, Angie",No More Rain (In This Cloud),4:42,R&B,1999-12-25,2000-01-22,17,56.0,4,66.0
1148,Da Brat,That's What I'm Looking For,3:44,Rap,2000-02-26,2000-04-15,18,56.0,4,60.0
1149,SheDaisy,This Woman Needs,3:20,Country,2000-02-05,2000-03-04,9,57.0,4,67.0
1150,Papa Roach,Last Resort,3:19,Rock,2000-07-29,2000-12-02,20,57.0,4,69.0
1151,"Adams, Yolanda",Open My Heart,5:30,Gospel,2000-08-26,2000-10-21,20,57.0,4,69.0
1152,Shyne,Bad Boyz,4:22,Rap,2000-09-09,2000-10-28,15,57.0,4,90.0
1153,R.E.M.,The Great Beyond,4:10,Rock,1999-12-25,2000-01-29,14,57.0,4,62.0
1154,"Diffie, Joe",It's Always Somethin',2:55,Country,2000-08-12,2000-09-16,14,57.0,4,63.0
1155,"McGraw, Tim",Some Things Never Change,3:56,Country,2000-05-13,2000-07-01,14,58.0,4,65.0
1156,"Henley, Don",Taking You Home,4:08,Rock,2000-06-24,2000-08-05,20,58.0,4,73.0
1157,Eminem,The Way I Am,4:40,Rap,2000-08-26,2000-09-30,10,58.0,4,65.0
1158,Nas,You Owe Me,3:51,R&B,2000-03-25,2000-04-15,16,59.0,4,59.0
1159,Sister Hazel,Change Your Mind,4:02,Rock,2000-07-15,2000-08-05,20,59.0,4,59.0
1160,Puff Daddy,Best Friend,5:33,Rap,2000-02-12,2000-02-19,5,59.0,4,79.0
1161,"McBride, Martina",There You Are,3:26,Country,2000-09-09,2000-10-21,13,60.0,4,75.0
1162,Usher,Pop Ya Collar,3:36,Rock,2000-11-04,2000-11-18,7,60.0,4,60.0
1163,Lil' Kim,No Matter What They Say,4:12,Rap,2000-07-15,2000-08-05,10,60.0,4,60.0
1164,LFO,I Don't Wanna Kiss You Goodnight,5:00,Rock,2000-04-15,2000-04-22,5,61.0,4,73.0
1166,Splender,I Think God Can Explain,3:55,R&B,2000-06-10,2000-06-24,12,62.0,4,62.0
1167,"Simpson, Jessica",Where You Are,3:51,Rock,2000-04-01,2000-04-15,6,62.0,4,62.0
1168,M2M,Mirror Mirror,3:19,Pop,2000-04-01,2000-05-27,18,62.0,4,91.0
1169,Kumbia Kings,U Don't Love Me,3:50,R&B,2000-03-04,2000-03-18,10,62.0,4,67.0
1170,Joe,Treat Her Like A Lady,4:12,Rock,2000-08-05,2000-08-19,17,63.0,4,63.0
1171,"Blige, Mary J.",Deep Inside,5:26,Rock,1999-11-13,2000-01-22,15,63.0,4,75.0
1172,"Price, Kelly",You Should've Told Me,3:12,Rock,2000-09-23,2000-12-02,20,64.0,4,87.0
1173,Changing Faces,That Other Woman,4:00,Rock,2000-09-30,2000-10-28,11,64.0,4,66.0
1174,"Wright, Chely",It Was,3:51,R&B,2000-03-04,2000-04-15,10,64.0,4,72.0
1175,Limp Bizkit,Rollin',4:04,Rock,2000-11-11,2000-12-09,17,65.0,4,66.0
1176,Hot Boys,I Need A Hot Girl,4:16,Rap,2000-02-19,2000-03-11,13,65.0,4,65.0
1177,Jay-Z,Do It Again (Put Ya Hands Up),3:47,Rap,2000-01-15,2000-01-29,9,65.0,4,65.0
1178,"Adkins, Trace",More,3:05,Country,2000-04-29,2000-06-17,11,65.0,4,73.0
1179,"Dixie Chicks, The",Cold Day In July,5:12,Country,2000-06-24,2000-08-05,10,65.0,4,72.0
1180,"Price, Kelly",As We Lay,6:20,Rock,2000-07-15,2000-08-05,8,64.0,4,64.0
1181,DMX,What's My Name,3:50,Rap,2000-01-15,2000-02-12,11,67.0,4,69.0
1182,"Martin, Ricky",Private Emotion,4:02,Latin,2000-03-11,2000-03-18,5,67.0,4,78.0
1183,Nine Days,If I Am,4:18,Rock,2000-12-02,2000-12-02,5,68.0,4,94.0
1184,"Blige, Mary J.",Give Me You,5:00,Rock,2000-04-15,2000-05-13,9,68.0,4,76.0
1185,Red Hot Chili Peppers,Californication,5:21,Rock,2000-07-29,2000-10-14,19,69.0,4,77.0
1186,Third Eye Blind,Deep Inside Of You,4:10,Rock,2000-09-02,2000-10-07,12,69.0,4,70.0
1187,"Brooks, Garth",Do What You Gotta Do,2:56,Country,2000-02-19,2000-03-18,6,69.0,4,70.0
1188,"Offspring, The",Original Prankster,3:42,Rock,2000-11-25,2000-12-09,9,70.0,4,70.0
1189,"Anthony, Marc",My Baby You,3:59,Latin,2000-09-16,2000-10-07,20,70.0,4,70.0
1190,"Houston, Whitney","Same Script, Different Cast",4:45,Rock,2000-06-17,2000-07-15,9,70.0,4,71.0
1191,D'Angelo,Left & Right,4:35,R&B,1999-12-11,2000-01-01,5,70.0,4,70.0
1192,"Kravitz, Lenny",I Belong To You,4:17,Rock,2000-03-25,2000-04-08,9,71.0,4,71.0
1193,"Loveless, Patty",That's The Kind Of Mood I'm In,3:27,Country,2000-09-16,2000-11-18,14,71.0,4,93.0
1194,Q-Tip,Breathe And Stop,4:06,Rock,2000-01-22,2000-01-22,5,71.0,4,82.0
1195,"Rimes, LeAnn",Can't Fight The Moonlight,3:33,Country,2000-09-09,2000-09-16,20,71.0,4,83.0
1196,Lil Wayne,Tha Block Is Hot,4:13,Rap,1999-12-04,2000-01-08,11,72.0,4,84.0
1197,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,2000-02-26,2000-03-11,7,72.0,4,77.0
1198,"Wallflowers, The",Sleepwalker,3:29,Rock,2000-10-28,2000-10-28,6,73.0,4,80.0
1199,Drama,"Left, Right, Left",3:37,Rap,2000-02-12,2000-03-18,13,73.0,4,80.0
1200,Limp Bizkit,N 2 Gether Now,3:55,Rock,1999-12-04,2000-01-08,11,73.0,4,78.0
1201,Lox,"Ryde or Die, Chick",3:56,Rap,2000-03-18,2000-03-25,7,73.0,4,84.0
1202,Ying Yang Twins,Whistle While You Twurk,4:19,Rap,2000-03-18,2000-04-29,14,74.0,4,85.0
1203,"Walker, Clay","Live, Laugh, Love",4:06,Country,1999-12-04,2000-01-22,11,74.0,4,94.0
1204,Metallica,No Leaf Clover (Live),5:43,Rock,2000-02-12,2000-03-11,10,74.0,4,76.0
1205,Yankee Grey,Another Nine Minutes,3:10,Country,2000-04-29,2000-05-20,8,74.0,4,74.0
1207,Big Punisher,It's So Hard,3:25,Rap,2000-04-22,2000-05-06,15,75.0,4,79.0
1208,"Worley, Darryl",When You Need My Love,3:35,Country,2000-06-17,2000-09-02,15,75.0,4,92.0
1209,Lil' Kim,How Many Licks?,3:50,Rap,2000-11-25,2000-12-02,9,75.0,4,86.0
1210,"Clark, Terri",A Little Gasoline,3:07,Country,2000-12-16,2000-12-16,6,75.0,4,96.0
1212,"Cagle, Chris",My Love Goes On And On,3:02,Country,2000-10-21,2000-12-02,11,76.0,4,87.0
1213,"Byrd, Tracy",Put Your Hand In Mine,4:30,Country,2000-01-29,2000-02-12,8,76.0,4,76.0
1214,Metallica,I Disappear,4:26,Rock,2000-05-13,2000-06-17,20,76.0,4,81.0
1215,Jay-Z,Hey Papi,3:40,Rap,2000-08-12,2000-10-07,15,76.0,4,94.0
1216,Fatboy Slim,The Rockafeller Skank,4:00,Electronica,1999-11-13,2000-01-22,12,76.0,4,87.0
1217,"Levert, Gerald",Mr. Too Damn Good,4:06,R&B,2000-03-18,2000-04-08,8,76.0,4,76.0
1218,"McKnight, Brian",Stay Or Let It Go,4:32,Rock,2000-02-26,2000-03-25,8,76.0,4,78.0
1219,"Allan, Gary",Smoke Rings In The Dark,4:18,Country,2000-01-22,2000-02-05,5,76.0,4,77.0
1220,Ginuwine,The Best Man I Can Be,4:06,Rock,2000-01-08,2000-03-04,12,77.0,4,94.0
1221,Before Dark,Monica,4:04,Rock,2000-05-20,2000-06-17,9,77.0,4,80.0
1223,Stone Temple Pilots,Sour Girl,4:16,Rock,2000-07-08,2000-07-29,13,78.0,4,78.0
1224,Montgomery Gentry,Daddy Won't Sell The Farm,4:18,Country,2000-03-04,2000-03-25,6,79.0,4,79.0
1225,"Cyrus, Billy Ray",You Won't Be Lonely Now,3:45,Country,2000-09-23,2000-11-11,13,80.0,4,92.0
1226,Clark Family Experience,Meanwhile Back At The Ranch,2:56,Country,2000-11-18,2000-12-16,12,80.0,4,92.0
1227,"Thomas, Carl",Summer Rain,4:57,Rock,2000-09-23,2000-10-14,11,80.0,4,80.0
1228,"Yearwood, Trisha",Real Live Woman,3:55,Country,2000-04-01,2000-04-29,6,81.0,4,82.0
1229,Trick Daddy,Shut Up,4:17,Rap,2000-05-20,2000-06-17,11,83.0,4,87.0
1230,"Moore, Chante",Straight Up,3:40,Rock,2000-10-28,2000-12-02,9,83.0,4,90.0
1231,Cam'ron,What Means The World To You,4:38,Rap,2000-10-14,2000-11-18,10,83.0,4,91.0
1232,Juvenile,U Understand,3:51,Rap,2000-02-05,2000-02-12,6,83.0,4,98.0
1233,"Hollister, Dave",Can't Stay,6:17,Rock,2000-03-25,2000-03-25,4,84.0,4,98.0
1234,Tamia,Can't Go For That,3:38,Rock,2000-09-16,2000-09-30,5,84.0,4,88.0
1235,LFO,West Side Story,3:27,Rock,2000-08-05,2000-08-12,4,84.0,4,96.0
1236,"Paisley, Brad",Me Neither,3:19,Country,2000-05-13,2000-05-20,4,85.0,4,92.0
1237,"Carter, Torrey",Take That,3:43,Rock,2000-06-24,2000-07-08,7,86.0,4,91.0
1239,Madison Avenue,Don't Call Me Baby,3:44,Electronica,2000-07-08,2000-09-16,20,88.0,4,93.0
1240,Eve,Got It All,3:48,Rap,2000-07-15,2000-07-22,5,88.0,4,91.0
1241,Limp Bizkit,Re-Arranged,4:08,Rock,1999-12-04,2000-02-05,18,88.0,4,95.0
1243,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,2000-06-17,9,89.0,4,89.0
1244,Tamar,If You Don't Wanna Love Me,4:02,Rock,2000-03-25,2000-04-15,6,89.0,4,89.0
1245,"Levert, Gerald",Baby U Are,4:10,R&B,2000-08-19,2000-08-26,5,89.0,4,96.0
1246,"Hart, Beth",L.A. Song,3:47,Country,1999-11-27,2000-01-15,12,90.0,4,99.0
1247,"Diffie, Joe",The Quittin' Kind,3:23,Country,2000-01-01,2000-01-22,6,90.0,4,90.0
1248,Funkmaster Flex,Do You,4:14,Rap,2000-11-11,2000-12-02,7,91.0,4,91.0
1249,"Price, Kelly",Love Sets You Free,3:46,Rock,2000-05-13,2000-05-20,4,91.0,4,100.0
1250,En Vogue,Riddle,5:10,Rock,2000-06-17,2000-06-17,4,92.0,4,100.0
1252,Anastacia,I'm Outta Love,4:01,Pop,2000-04-01,2000-04-01,3,92.0,4,95.0
1253,Trina,Pull Over,2:58,Rap,2000-09-09,2000-09-16,4,93.0,4,100.0
1254,Lil' Mo,Ta Da,4:17,Rap,2000-08-12,2000-09-16,7,95.0,4,97.0
1255,A*Teens,Dancing Queen,3:44,Pop,2000-07-08,2000-07-29,5,95.0,4,95.0
1256,"Sheist, Shade",Where I Wanna Be,4:16,Rap,2000-11-11,2000-11-18,5,95.0,4,99.0
1264,"Smith, Will",Freakin' It,3:58,Rap,2000-02-12,2000-02-12,4,99.0,4,99.0
1268,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,28,1.0,5,23.0
1269,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,26,1.0,5,2.0
1270,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,33,1.0,5,20.0
1271,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,24,1.0,5,2.0
1272,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,21,1.0,5,23.0
1273,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,24,1.0,5,29.0
1274,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,32,1.0,5,16.0
1275,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,20,1.0,5,17.0
1276,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,26,1.0,5,61.0
1277,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,55,1.0,5,38.0
1278,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,25,1.0,5,26.0
1279,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,24,1.0,5,13.0
1280,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22,2000-07-15,41,1.0,5,40.0
1281,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,47,1.0,5,70.0
1282,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,32,1.0,5,21.0
1283,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,39,1.0,5,22.0
1284,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,20,1.0,5,41.0
1285,"Hill, Faith",Breathe,4:04,Rap,1999-11-06,2000-04-22,53,2.0,5,42.0
1286,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000-08-19,2000-12-02,30,2.0,5,42.0
1287,Dream,He Loves U Not,3:43,Rock,2000-09-30,2000-12-30,28,2.0,5,47.0
1288,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,37,2.0,5,35.0
1289,"Anthony, Marc",You Sang To Me,3:50,Latin,2000-02-26,2000-06-03,32,2.0,5,30.0
1290,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,20,2.0,5,26.0
1291,Destiny's Child,Jumpin' Jumpin',3:48,Rock,2000-05-13,2000-08-19,32,3.0,5,57.0
1292,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,53,3.0,5,66.0
1293,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,28,3.0,5,26.0
1294,"Aguilera, Christina",I Turn To You,4:00,Rock,2000-04-15,2000-07-01,22,3.0,5,21.0
1295,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,28,4.0,5,11.0
1296,Joe,I Wanna Know,4:57,Rock,2000-01-01,2000-07-01,44,4.0,5,41.0
1297,"Jordan, Montell",Get It On.. Tonite,4:34,Rap,1999-10-23,2000-02-12,32,4.0,5,67.0
1298,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,23,4.0,5,13.0
1299,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,19,4.0,5,11.0
1300,Pink,Most Girls,4:06,Rock,2000-08-12,2000-11-25,27,4.0,5,27.0
1301,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,22,4.0,5,39.0
1302,Blaque,Bring It All To Me,3:46,Pop,1999-10-23,2000-01-22,29,5.0,5,24.0
1303,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,21,5.0,5,7.0
1304,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,27,5.0,5,30.0
1305,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,26,5.0,5,11.0
1306,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,26,5.0,5,12.0
1307,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000-01-01,2000-03-18,24,6.0,5,16.0
1308,Nine Days,Absolutely (Story Of A Girl),3:09,Rock,2000-05-06,2000-07-22,27,6.0,5,39.0
1309,"Dion, Celine",That's The Way It Is,4:03,Rock,1999-11-13,2000-03-04,28,6.0,5,44.0
1310,Blink-182,All The Small Things,2:52,Rock,1999-12-04,2000-02-19,23,6.0,5,59.0
1311,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,1999-12-11,2000-01-29,20,6.0,5,13.0
1312,"Badu, Erkyah",Bag Lady,5:03,Rock,2000-08-19,2000-10-07,20,6.0,5,48.0
1313,Pink,There U Go,3:23,Rock,2000-03-04,2000-04-08,32,7.0,5,11.0
1314,Creed,Higher,5:16,Rock,1999-09-11,2000-07-22,57,7.0,5,61.0
1315,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,34,7.0,5,55.0
1316,Next,Wifey,4:03,Rock,2000-05-27,2000-09-09,21,7.0,5,36.0
1317,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz,1999-12-25,2000-01-08,5,7.0,5,66.0
1318,Sonique,It Feels So Good,3:48,Rock,2000-01-22,2000-04-22,24,8.0,5,19.0
1319,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock,2000-04-22,2000-06-10,20,9.0,5,15.0
1320,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,2000-10-14,2000-12-02,20,9.0,5,12.0
1321,Everclear,Wonderful,4:30,Rock,2000-07-08,2000-09-30,21,11.0,5,33.0
1322,Ja Rule,Between Me And You,4:05,Rap,2000-09-16,2000-11-18,20,11.0,5,27.0
1323,"Rimes, LeAnn",I Need You,3:42,Country,2000-05-27,2000-08-12,25,11.0,5,59.0
1324,Smash Mouth,Then The Morning Comes,3:04,Rock,1999-10-30,2000-01-29,26,11.0,5,27.0
1325,Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap,2000-10-28,2000-12-30,21,11.0,5,23.0
1326,Jagged Edge,Let's Get Married,4:23,Rock,2000-05-06,2000-07-29,24,11.0,5,38.0
1327,Filter,Take A Picture,4:23,Rock,1999-11-27,2000-02-05,20,12.0,5,38.0
1328,"Martin, Ricky",She Bangs,4:02,Latin,2000-10-07,2000-12-02,18,12.0,5,18.0
1329,Mystikal,Shake Ya Ass,4:46,Rap,2000-08-12,2000-10-28,20,13.0,5,34.0
1330,BBMak,Back Here,3:35,Rock,2000-04-29,2000-07-29,31,13.0,5,38.0
1331,"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock,2000-01-29,2000-02-26,20,14.0,5,14.0
1332,Third Eye Blind,Never Let You Go,3:57,Rock,2000-01-22,2000-04-01,22,14.0,5,23.0
1333,Red Hot Chili Peppers,Otherside,4:13,Rock,2000-02-12,2000-05-27,22,14.0,5,51.0
1334,Profyle,Liar,3:57,R&B,2000-09-16,2000-10-28,20,14.0,5,16.0
1335,Barenaked Ladies,Pinch Me,3:46,Rock,2000-09-09,2000-11-25,21,15.0,5,51.0
1336,Jagged Edge,He Can't Love U,3:30,Rock,1999-12-11,2000-01-08,20,15.0,5,15.0
1337,504 Boyz,Wobble Wobble,3:35,Rap,2000-04-15,2000-05-06,18,17.0,5,17.0
1338,Sting,Desert Rose,3:52,Rock,2000-05-13,2000-08-26,26,17.0,5,55.0
1339,Jay-Z,Big Pimpin',3:55,Rap,2000-04-22,2000-07-08,20,18.0,5,28.0
1340,Kid Rock,Only God Knows Why,5:27,Rock,2000-02-19,2000-04-15,20,19.0,5,35.0
1341,Foo Fighters,Learn To Fly,3:55,Rock,1999-10-16,2000-01-22,21,19.0,5,60.0
1342,"Dixie Chicks, The",Goodbye Earl,4:19,Country,2000-03-18,2000-05-06,15,19.0,5,20.0
1343,Guy,Dancin',4:08,R&B,1999-12-18,2000-01-01,11,19.0,5,36.0
1344,Lil Bow Wow,Bounce With Me,3:22,Rap,2000-08-19,2000-09-16,20,20.0,5,20.0
1345,Westlife,Swear It Again,4:07,Rock,2000-04-01,2000-07-01,20,20.0,5,55.0
1346,Train,Meet Virginia,3:55,Rock,1999-10-09,2000-01-22,27,20.0,5,48.0
1347,"Thomas, Carl",I Wish,3:50,Rock,2000-03-25,2000-05-13,20,20.0,5,32.0
1348,Hanson,This Time Around,4:14,Country,2000-04-22,2000-05-06,7,20.0,5,87.0
1349,"Simpson, Jessica",I Think I'm In Love With You,3:32,Pop,2000-07-01,2000-08-12,16,21.0,5,25.0
1350,Ludacris,What's Your Fantasy,4:16,Rap,2000-09-30,2000-12-16,22,21.0,5,49.0
1351,Lil' Zane,Callin' Me,3:43,Rap,2000-07-29,2000-09-02,13,21.0,5,34.0
1352,M2M,Don't Say You Love Me,3:41,Pop,1999-11-20,2000-01-08,12,21.0,5,54.0
1353,SoulDecision,Faded,3:25,Rock,2000-07-08,2000-09-09,24,22.0,5,56.0
1354,"Brock, Chad",Yes!,3:22,Country,2000-04-08,2000-07-01,20,22.0,5,59.0
1355,"Martin, Ricky",Shake Your Bon-Bon,3:08,Latin,1999-11-20,2000-02-12,18,22.0,5,39.0
1356,Vertical Horizon,You're A God,3:45,Rock,2000-08-26,2000-11-04,21,23.0,5,37.0
1357,Avant,Separated,4:13,Rock,2000-04-29,2000-05-20,20,23.0,5,26.0
1358,"Rimes, LeAnn",Big Deal,3:03,Country,1999-10-16,2000-01-01,20,23.0,5,51.0
1359,IMx,Stay The Night,3:37,Rap,1999-10-09,2000-01-08,20,23.0,5,40.0
1360,Dr. Dre,The Next Episode,2:38,Rap,2000-05-27,2000-07-29,20,23.0,5,46.0
1361,"Spears, Britney",Lucky,3:23,Rock,2000-08-12,2000-09-09,11,23.0,5,23.0
1362,Savage Garden,Crash And Burn,4:41,Rock,2000-04-08,2000-05-27,20,24.0,5,33.0
1363,Kandi,Don't Think I'm Not,3:50,Rock,2000-08-05,2000-10-07,24,24.0,5,49.0
1364,Sammie,I Like It,4:09,Rock,2000-01-29,2000-04-15,20,24.0,5,40.0
1365,Goo Goo Dolls,Broadway,3:54,Rock,2000-04-22,2000-07-01,20,24.0,5,35.0
1366,"Moore, Mandy",I Wanna Be With You,4:12,Pop,2000-06-17,2000-08-12,23,24.0,5,45.0
1367,Dr. Dre,Forgot About Dre,3:42,Rap,2000-01-22,2000-03-25,20,25.0,5,36.0
1368,D'Angelo,Untitled (How Does It Feel),7:10,R&B,2000-01-22,2000-02-19,17,25.0,5,25.0
1369,"Messina, Jo Dee",That's The Way,3:17,Country,2000-06-24,2000-08-26,20,25.0,5,50.0
1370,Avant,My First Love,4:28,Rock,2000-11-04,2000-12-16,20,26.0,5,39.0
1371,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,2000-08-19,26,26.0,5,72.0
1372,Da Brat,What'Chu Like,3:57,Rap,2000-06-03,2000-08-12,20,26.0,5,51.0
1373,DMX,Party Up (Up In Here),3:45,Rap,2000-02-26,2000-04-22,21,27.0,5,49.0
1374,"Dixie Chicks, The",Cowboy Take Me Away,4:51,Country,1999-11-27,2000-01-29,20,27.0,5,52.0
1375,"McGraw, Tim",My Next Thirty Years,3:37,Country,2000-10-21,2000-12-16,20,27.0,5,46.0
1376,"Tritt, Travis",Best Of Intentions,4:15,Country,2000-08-19,2000-12-02,22,27.0,5,63.0
1377,Alice Deejay,Better Off Alone,6:50,Electronica,2000-04-08,2000-06-03,20,27.0,5,45.0
1378,Hoku,Another Dumb Blonde,3:47,Pop,2000-02-19,2000-04-08,14,27.0,5,34.0
1379,"Houston, Whitney",I Learned From The Best,4:18,Rock,2000-02-19,2000-03-25,11,27.0,5,28.0
1380,Counting Crows,Hanginaround,4:07,Rock,1999-11-06,2000-01-29,20,28.0,5,46.0
1381,Mary Mary,Shackles (Praise You),3:12,Rock,2000-03-25,2000-05-13,20,28.0,5,43.0
1382,"Carey, Mariah",Crybaby,5:19,Rock,2000-06-24,2000-06-24,7,28.0,5,77.0
1383,"McGraw, Tim",My Best Friend,4:33,Country,1999-11-27,2000-01-29,21,29.0,5,54.0
1384,Sugar Ray,Falls Apart,4:15,Rock,2000-01-15,2000-02-19,20,29.0,5,34.0
1385,Madonna,American Pie,4:30,Rock,2000-02-19,2000-03-04,9,29.0,5,33.0
1386,"Jones, Donell",Where I Wanna Be,6:22,Rock,2000-04-22,2000-07-08,20,29.0,5,41.0
1387,"Paisley, Brad",We Danced,3:45,Country,2000-10-14,2000-12-16,20,29.0,5,45.0
1388,Lonestar,What About Now,3:30,Country,2000-06-10,2000-08-19,20,30.0,5,56.0
1389,"Backstreet Boys, The",The One,3:46,Rock,2000-05-27,2000-07-01,15,30.0,5,31.0
1390,"Keith, Toby",How Do You Like Me Now?!,3:29,Country,2000-01-29,2000-04-08,20,31.0,5,45.0
1391,"Strait, George",The Best Day,3:24,Country,2000-01-29,2000-04-22,20,31.0,5,44.0
1392,"Dixie Chicks, The",Without You,3:32,Country,2000-10-07,2000-12-23,20,31.0,5,50.0
1393,Musiq,Just Friends (Sunny),4:02,Rap,2000-10-14,2000-12-30,20,31.0,5,54.0
1394,"McEntire, Reba",What Do You Say,3:26,Country,1999-10-30,2000-01-29,20,31.0,5,69.0
1395,"Braxton, Toni",Just Be A Man About It,4:10,Rock,2000-07-29,2000-09-02,20,32.0,5,37.0
